job_title,job_detail_url,job_listed,company_name,company_link,company_location
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-purelogics-4141450053?position=1&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=DQe0suXFGge7oDeQCupZGA%3D%3D,1 month ago,PureLogics,https://www.linkedin.com/company/purelogics?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Data Customer Insights Analyst,https://www.linkedin.com/jobs/view/data-customer-insights-analyst-at-cava-4183189119?position=2&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=v%2BgI7zNoqfszRqkGN1Lyzg%3D%3D,3 days ago,CAVA,https://www.linkedin.com/company/cava-?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ikigai-4184821866?position=3&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=NDfcnUiR3piyntT3mqvNpw%3D%3D,1 day ago,Ikigai,https://www.linkedin.com/company/ikigailabs?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Mateo, CA"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-accord-technologies-inc-4132360545?position=4&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=lse8l7EE6JDMgpFaCInuQg%3D%3D,1 month ago,Accord Technologies Inc,https://www.linkedin.com/company/accord-technologies-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Phoenix, AZ"
Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-deep-sky-4185055200?position=5&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=r3hsNtMqZ45B9jYxbJhnzg%3D%3D,1 day ago,Deep Sky,https://ca.linkedin.com/company/deep-sky-climate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Junior Data Science Engineer,https://www.linkedin.com/jobs/view/junior-data-science-engineer-at-cloudfit-software-4184235637?position=6&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=CuPfiHo9PclA4b5aNAJn%2BA%3D%3D,2 days ago,CloudFit Software,https://www.linkedin.com/company/cloudfitsoftware?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lynchburg, VA"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-bright-mind-solutions-llc-4171029199?position=7&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=6trjy2gkMWBSsgl9n8SMyA%3D%3D,2 weeks ago,Bright Mind Solutions LLC,https://www.linkedin.com/company/bright-mind-solutions-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pittsburgh, PA"
Python Developer [Job ID 20250307],https://www.linkedin.com/jobs/view/python-developer-job-id-20250307-at-phoenix-cyber-4179194552?position=8&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=pw2d1nJClyT%2B%2FQsB%2BkA3LQ%3D%3D,1 week ago,Phoenix Cyber,https://www.linkedin.com/company/phoenixcyber?trk=public_jobs_jserp-result_job-search-card-subtitle,"Atlanta, GA"
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-buyerlink-4145407981?position=9&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=zp8GAUkqiOz7V1JlzAcOiw%3D%3D,1 month ago,Buyerlink,https://www.linkedin.com/company/buyerlink?trk=public_jobs_jserp-result_job-search-card-subtitle,"American Fork, UT"
Backend Python Software Engineer,https://www.linkedin.com/jobs/view/backend-python-software-engineer-at-synergy-ecp-4181275829?position=10&pageNum=2&refId=9N8iIH5LxA3XXj%2FoD9oyGA%3D%3D&trackingId=ddyLmPOw6uaHlF7aj3jhQQ%3D%3D,3 days ago,Synergy ECP,https://www.linkedin.com/company/synergyecp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Maryland, United States"
